group,rank,gene,score,p_value,p_value_adj_BH,mean_logcounts_group,mean_logcounts_rest,mean_log2_expression_difference,pct_cells_expressing_group,pct_cells_expressing_rest,n_cells_group,n_cells_rest,is_mitochondrial,is_ribosomal
B cell,29,MARCH1,147.4937526697327,0.0,0.0,0.9297199012466084,0.1094080785305216,1.1834597986150848,56.34203544926756,8.334794360435387,26009,547560,False,False
B cell,30,SWAP70,145.57058210974006,0.0,0.0,0.7941200509017285,0.0481478103572379,1.0762104520743654,52.57410896228228,4.586164073343561,26009,547560,False,False
B cell,31,PDLIM1,144.94289565914593,0.0,0.0,0.7409081257159604,0.0419016155670573,1.0084532257409236,51.50909300626706,3.381364599313317,26009,547560,False,False
B cell,32,BLK,142.38929134630618,0.0,0.0,0.7298017009888411,0.0101703491307739,1.0382085825938543,48.42938982659849,0.8232887720067207,26009,547560,False,False
B cell,33,TCL1A,140.47606292531552,0.0,0.0,1.1468599178827616,0.0089588773337091,1.6416441882225092,46.59540928140259,0.4328292789831252,26009,547560,False,False
B cell,34,CD22,136.00379917789417,0.0,0.0,0.7086966668513618,0.0032023356224484,1.017813173039229,45.48041062709062,0.3301921250639199,26009,547560,False,False
B cell,35,IRF8,134.13359808977893,0.0,0.0,0.7722904984112791,0.0647060548865725,1.020828567683271,49.375216271290704,4.864124479509095,26009,547560,False,False
B cell,36,ADAM28,129.8201112529988,0.0,0.0,0.7148465919986702,0.037101260918975,0.9777798281343248,46.33396132108116,3.4840017532325227,26009,547560,False,False
B cell,37,FCRLA,129.16655317972436,0.0,0.0,0.6495582615617146,0.0012769027096411,0.935272301516645,42.75443115844516,0.1232741617357002,26009,547560,False,False
B cell,38,CD40,128.31888847901985,0.0,0.0,0.6415519085255135,0.0204009531096117,0.896131403021963,44.1885501172671,1.9877273723427569,26009,547560,False,False
B cell,39,BCL11A,127.79177585529858,0.0,0.0,0.6792476968370363,0.0328355955536417,0.9325755328921675,44.542273828290206,2.6630871502666373,26009,547560,False,False
B cell,40,AFF3,126.06288287796832,0.0,0.0,0.7415604729575066,0.0334080279722458,1.0216480205736302,44.6383944019378,3.1280590254949234,26009,547560,False,False
B cell,41,POU2F2,125.18596848499864,0.0,0.0,1.0118263984347813,0.3041850232217712,1.0209107027476558,61.217270944673,21.94371393089342,26009,547560,False,False
B cell,42,PLPP5,124.74624495697964,0.0,0.0,0.8037454501393979,0.0933859888811168,1.024832072005878,48.38709677419355,7.857769011615165,26009,547560,False,False
B cell,43,GNG7,124.6494406561369,0.0,0.0,0.6126568047696239,0.0293425920148967,0.8415445220212946,43.36191318389788,2.830557381839433,26009,547560,False,False
B cell,44,TCF4,124.27150542553528,0.0,0.0,0.68962192109932,0.0669627355281664,0.898307319187464,46.56080587488946,5.0916794506538094,26009,547560,False,False
B cell,45,CXXC5,124.0557161548264,0.0,0.0,0.7002003938176475,0.0886410003521574,0.882293704161725,47.9833903648737,6.883263934545986,26009,547560,False,False
B cell,46,CD52,124.0535693228947,0.0,0.0,2.982992135454152,2.406900288959757,0.8311248500340296,98.55819139528624,89.30345532909637,26009,547560,False,False
B cell,47,CD19,122.87661050083376,0.0,0.0,0.5929663507588518,0.0012775845337865,0.8536264487826111,40.65515782998193,0.1316750675725034,26009,547560,False,False
B cell,48,LAPTM5,121.9304190175341,0.0,0.0,2.1934069295268133,1.5343673325813212,0.9507931582627228,93.50993886731516,80.55701658265761,26009,547560,False,False
B cell,49,HLA-DOB,121.38118013412864,0.0,0.0,0.5797027683087389,0.0071849269275114,0.825968650581151,39.955400053827525,0.7769011615165461,26009,547560,False,False
B cell,50,EAF2,121.33639247958445,0.0,0.0,0.6532400482343445,0.0464657160548293,0.875390319974099,43.20043062016994,4.452297465117978,26009,547560,False,False
Myeloid cell,1,TYROBP,1223.7173302887977,0.0,0.0,3.286945834122476,0.3208790405172794,4.279129854079646,99.123504883134,13.594519289345172,72904,500665,False,False
Myeloid cell,2,CST3,887.4436722498048,0.0,0.0,3.472602043574752,0.1001776488914724,4.865379949982532,95.91654778887305,6.730049034783738,72904,500665,False,False
Myeloid cell,3,AIF1,810.9571303825145,0.0,0.0,2.555415758888927,0.1309930006641034,3.497702690309295,95.9919894655986,9.653960232890256,72904,500665,False,False
Myeloid cell,4,FCER1G,776.3807544541698,0.0,0.0,2.5914891627314587,0.2058627656561095,3.441731372474412,95.53659607154614,10.00808924130906,72904,500665,False,False
Myeloid cell,5,FTL,715.8968175179944,0.0,0.0,4.753048178076457,2.887706237043537,2.691119567890388,99.94650499286732,98.43468187310876,72904,500665,False,False
Myeloid cell,6,LST1,637.3903196572892,0.0,0.0,2.238535421323155,0.1135077735857768,3.0657668491426557,94.25408756721168,9.046967533180869,72904,500665,False,False
Myeloid cell,7,FTH1,631.4924708085218,0.0,0.0,4.664167924524717,2.73523975306955,2.7828551071893863,99.75858663447822,96.41237154584402,72904,500665,False,False
Myeloid cell,8,HLA-DRA,620.1516525637292,0.0,0.0,3.551578661258476,0.4412038142773228,4.487322367045478,94.73691429825524,20.046737838674563,72904,500665,False,False
Myeloid cell,9,PSAP,557.6866578419031,0.0,0.0,2.4942316806761307,0.4635187187408681,2.9296995196529414,93.46126412816857,32.86468996235008,72904,500665,False,False
Myeloid cell,10,LYZ,553.9328862723805,0.0,0.0,3.3106466696042616,0.0750490086626662,4.66798069975237,93.08817074508944,5.8550128329322,72904,500665,False,False
Myeloid cell,11,S100A11,498.3872577730317,0.0,0.0,2.8111506464115905,1.2840367612315744,2.2031596290218878,97.7271480302864,66.1100736021092,72904,500665,False,False
Myeloid cell,12,CD74,490.7891217287257,0.0,0.0,4.021491429470118,1.3690541407978842,3.8266581226364,96.18813782508504,62.35706510341246,72904,500665,False,False
Myeloid cell,13,HLA-DRB1,483.517921814407,0.0,0.0,3.064405107709959,0.5564367488591064,3.618233514020557,92.01827060243608,27.724726114268023,72904,500665,False,False
Myeloid cell,14,SAT1,479.3198489885291,0.0,0.0,2.6851638614650466,0.654923249299126,2.9290180629831477,95.64358608581148,43.31059690611487,72904,500665,False,False
Myeloid cell,15,CTSS,473.2495243234417,0.0,0.0,2.4307982435472084,0.4226079080242215,2.897206238220157,92.74388236585098,30.92786593830205,72904,500665,False,False
Myeloid cell,16,GRN,447.8704185532672,0.0,0.0,1.5729417449244605,0.1233767358927895,2.0912802499761574,82.75677603423681,9.348366672325808,72904,500665,False,False
Myeloid cell,17,NPC2,446.9093629260688,0.0,0.0,1.8401237150575696,0.3468214779508033,2.1543797320223272,87.9046417206189,25.15793993987996,72904,500665,False,False
Myeloid cell,18,MS4A6A,431.183220595522,0.0,0.0,1.6421248104303514,0.0250884774051747,2.3328902985926967,78.89141885218918,1.615451449572069,72904,500665,False,False
